Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-05-19,17:03:00,Pegasus/HAPS,STEP-2,Retired,40,Partial Failure
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1994-05-25,10:14:00,Tsyklon-3,Cosmos 2281,Retired,,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-06-17,07:07:00,Ariane 44LP,"Intelsat 702, STRV 1A & 1B",Retired,,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1994-06-24,13:50:00,Atlas I,UHF F3,Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1994-06-27,21:15:00,Pegasus XL,STEP-1,Active,40,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1994-07-03,08:00:00,Long March 2D,FSW-2 No.2,Active,29.75,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08,04:43:00,Space Shuttle Columbia,STS-65,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-07-08,23:05:00,Ariane 44L,"Panamsat-2, Yuri-3N",Retired,,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",1994-07-14,05:13:00,Cosmos-3M (11K65M),Nadiezhda n†­7,Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1994-07-21,10:55:00,Long March 3,Apstar-1,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1994-08-02,,Cosmos-3M (11K65M),Cosmos 2285,Retired,,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1994-08-03,23:57:00,Atlas IIA,DBS-2,Retired,,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",1994-08-05,01:12:00,Molniya-M /Block 2BL,Cosmos 2286,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-08-10,23:05:00,Ariane 44LP,"Brasilsat B1, Turksat 1B",Retired,,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",1994-08-23,14:31:00,Molniya-M /Block ML,Molniya-3 n†­161,Retired,,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1994-08-26,12:00:00,Zenit-2,Cosmos 2290,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1994-08-27,08:58:00,Titan IV(401)A,Mercury,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1994-08-27,23:10:00,Long March 2E,Optus-B3,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1994-08-28,07:50:00,H-II,Kiku 6,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1994-08-29,17:38:00,Atlas-E/F Star-37S-ISS,DMSP F-12,Retired,,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-09-03,14:38:00,Pegasus,APEX,Retired,40,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-09-09,00:29:00,Ariane 42L,Telstar 402,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-09-09,22:22:00,Space Shuttle Discovery,STS-64,Retired,450,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1994-09-27,14:00:00,Cosmos-3M (11K65M),Cosmos 2292,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-09-30,11:16:00,Space Shuttle Endeavour,STS-68,Retired,450,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1994-10-06,06:35:00,Atlas IIAS,Intelsat 703,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-10-08,01:07:00,Ariane 44L,"Solidaridad-2, Thaicom-2",Retired,,Success
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1994-10-11,14:30:00,Tsyklon-3,Okean 4,Retired,,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1994-10-15,05:05:00,PSLV-G,IRS-P2,Retired,25,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-11-01,00:37:00,Ariane 42P,Astra 1D,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1994-11-01,09:31:00,Delta II 7925-10,Wind,Retired,,Success
VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1994-11-02,01:04:00,Tsyklon-2,Cosmos 2293,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-11-03,16:59:00,Space Shuttle Atlantis,STS-66,Retired,450,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1994-11-04,05:47:00,Zenit-2,Resurs-O1 n†­3,Retired,,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1994-11-24,09:15:00,Zenit-2,Cosmos 2297,Retired,,Success
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1994-11-29,02:54:00,Tsyklon-3,Geo-IK 1,Retired,,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1994-11-29,10:21:00,Atlas IIA,Orion 1,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1994-11-29,17:02:00,Long March 3A,Chinasat-5,Active,69.7,Partial Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-12-01,22:57:00,Ariane 42P,Panamsat-3,Retired,,Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",1994-12-14,14:21:00,Molniya-M /Block ML,Molniya-1T n†­162,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1994-12-20,05:10:00,Cosmos-3M (11K65M),Cosmos 2298,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1994-12-22,22:19:00,Titan IV(402)A,DSP,Retired,,Success
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1994-12-26,22:26:00,Tsyklon-3,Cosmos 2299 to 2304,Retired,,Success
VKS RF,"Site 175/58, Baikonur Cosmodrome, Kazakhstan",1994-12-26,,Rokot/Briz K,Radio-ROSTO,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1994-12-30,10:02:00,Atlas-E/F Star-37S-ISS,NOAA-J,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-01-10,06:18:00,Atlas IIAS,Intelsat 704,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1995-01-15,13:45:00,Mu-III S2,EXPRESS,Retired,,Partial Failure
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1995-01-24,03:54:00,Cosmos-3M (11K65M),"Tsikada 1, Faisat 1 & Astrid 1",Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1995-01-25,22:40:00,Long March 2E,Apstar 2,Retired,,Failure
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-01-29,01:25:00,Atlas II,USA-108 (UHF F4),Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-02-03,05:22:00,Space Shuttle Discovery,STS-63,Retired,450,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02,06:38:00,Space Shuttle Endeavour,STS-67,Retired,450,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1995-03-02,13:00:00,Cosmos-3M (11K65M),Cosmos 2306,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1995-03-18,08:01:00,H-II,Himawari 5 & SFU 1,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1995-03-22,04:09:00,Cosmos-3M (11K65M),Cosmos 2310,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-03-22,06:18:00,Atlas IIAS,Intelsat 705,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1995-03-24,14:05:00,Atlas-E/F Star-37S-ISS,DMSP F-13,Retired,,Success
MITT,"Site 158, Plesetsk Cosmodrome, Russia",1995-03-28,10:00:00,Start,"EKA-2, Gurwin & UNAMSAT A",Retired,,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-03-28,11:19:00,Ariane 44LP,"Brasilsat B2, Hot Bird 1",Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-04-03,13:48:00,Pegasus,Orbcomm F1 and F2 & OrbView-1,Retired,40,Success
IAI,"Pad 1, Palmachim Airbase, Israel",1995-04-05,,Shavit,Ofek-3,Retired,,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-04-07,23:47:00,Atlas IIA,AMSC-1,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-04-21,01:44:00,Ariane 40,ERS-2,Retired,,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",1995-05-14,13:45:00,Titan IV(401)A,Mentor,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-05-17,06:34:00,Ariane 44LP,Intelsat 706,Retired,,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-05-23,05:52:00,Atlas I,GOES-J,Retired,,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",1995-05-24,20:10:00,Molniya-M /Block 2BL,Cosmos 2312,Retired,,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-05-31,15:27:00,Atlas II,USA-111 (UHF F5),Retired,,Success
VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1995-06-08,04:43:00,Tsyklon-2,Cosmos 2313,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-06-10,00:24:00,Ariane 42P,DBS-3,Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-06-22,19:58:00,Pegasus XL,STEP-3,Active,40,Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-06-27,19:32:00,Space Shuttle Atlantis,STS-71,Retired,450,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1995-07-05,03:09:00,Cosmos-3M (11K65M),Cosmos 2315,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-07-07,16:23:00,Ariane 40,"Helios 1A, Cerise, LBSAT-1",Retired,,Success
Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA",1995-07-10,12:38:00,Titan IV(401)A,Trumpet,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-07-13,13:41:00,Space Shuttle Discovery,STS-70,Retired,450,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-07-31,23:30:00,Atlas IIA,USA-113 (DSCS IIIB-7),Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1995-08-02,23:59:00,Molniya-M /Block SO-L,Interbol 1 & Magion 4,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-08-03,22:58:00,Ariane 42L,Panamsat-4,Retired,,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",1995-08-09,01:21:00,Molniya-M /Block ML,Molniya-3 n†­163,Retired,,Success
Lockheed,"SLC-6, Vandenberg AFB, California, USA",1995-08-15,22:30:00,Athena I,GemStar 1,Retired,,Failure
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-08-29,00:53:00,Atlas IIAS,JCSAT-3,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-08-29,06:41:00,Ariane 42P,N-Star A,Retired,,Success
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1995-08-31,06:50:00,Tsyklon-3,Sich 1 & FASat Alfa,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1995-09-05,11:10:00,Delta II 7925,Koreasat 1,Retired,,Partial Failure
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-09-07,15:09:00,Space Shuttle Endeavour,STS-69,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-09-24,00:06:00,Ariane 42L,Telstar 402R,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1995-10-06,03:23:00,Cosmos-3M (11K65M),Cosmos 2321,Retired,,Partial Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-10-19,00:28:00,Ariane 42L,Astra 1E,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20,13:53:00,Space Shuttle Columbia,STS-73,Retired,450,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-10-22,08:00:00,Atlas II,USA-114 (UHF F6),Retired,,Success
EER,"LP-0A, Wallops Flight Facility, Virginia, USA",1995-10-23,22:03:00,Conestoga-1620,METEOR,Retired,20,Failure
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1995-10-31,20:19:00,Zenit-2,Cosmos 2322,Retired,,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA",1995-11-04,14:22:00,Delta II 7920-10,RADARSAT-1 and SURFSAT,Retired,,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",1995-11-06,05:15:00,Titan IV(401)A,Milstar DFS-2,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-11-12,12:30:00,Space Shuttle Atlantis,STS-74,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-11-17,01:20:00,Ariane 44P,Infrared Space Observatory,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1995-11-28,11:30:00,Long March 2E,AsiaSat 2,Retired,,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-12-02,08:08:00,Atlas IIAS,SOHO,Retired,,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA",1995-12-05,21:18:00,Titan IV(404)A,KH-11 Kennen,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-12-06,23:23:00,Ariane 44L,"Telecom 2C, Insat 2C",Retired,,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-12-15,00:23:00,Atlas IIA,Galaxy 3R,Retired,,Success
VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1995-12-20,00:52:00,Tsyklon-2,Cosmos 2326,Retired,,Success
VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1995-12-28,06:45:00,Molniya-M /Block 2BL,IRS-1C & Skipper,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1995-12-28,11:50:00,Long March 2E,EchoStar 1,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1995-12-30,13:48:00,Delta II 7920-10,XTE,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-01-11,09:41:00,Space Shuttle Endeavour,STS-72,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-01-12,23:10:00,Ariane 44L,"Panamsat-3R, Measat-1",Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1996-01-14,11:10:00,Delta II 7925,Koreasat-2,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1996-01-16,15:33:00,Cosmos-3M (11K65M),Cosmos 2327,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-02-01,01:15:00,Atlas IIAS,Palapa C1,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-02-05,07:19:00,Ariane 44P,N-Star B,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1996-02-14,19:01:00,Long March 3B,Intelsat 708,Retired,,Failure
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1996-02-17,20:43:00,Delta II 7925-8,NEAR,Retired,,Success
VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia",1996-02-19,00:58:00,Tsyklon-3,Cosmos 2328 to 2330 & Gonets 1 to 3,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-02-22,20:18:00,Space Shuttle Columbia,STS-75,Retired,450,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA",1996-02-24,11:24:00,Delta II 7925-10,Polar,Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-03-09,01:53:00,Pegasus XL,REX II,Active,40,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-03-14,07:11:00,Ariane 44LP,Intelsat 707,Retired,,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1996-03-21,04:53:00,PSLV-G,IRS-P3,Retired,25,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-03-22,08:13:00,Space Shuttle Atlantis,STS-76,Retired,450,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1996-03-28,00:21:00,Delta II 7925,USA-117 (GPS IIA-16),Retired,,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1996-04-03,23:01:00,Atlas IIA,Inmarsat 3-F1,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-04-20,22:36:00,Ariane 42P,M-SAT-1,Retired,,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA",1996-04-24,12:27:00,Delta II 7920-10,MSX,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1996-04-24,13:00:00,Cosmos-3M (11K65M),Cosmos 2265,Retired,,Success
Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA",1996-04-24,23:37:00,Titan IV(401)A,Mercury,Retired,,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-04-30,04:31:00,Atlas I,BeppoSAX,Retired,,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA",1996-05-12,21:32:00,Titan IV(403)A,"SLDCOM, NOSS 3x, TiPS 2x",Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-05-16,01:56:00,Ariane 44L,"Palapa C2, AMOS-1",Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-05-17,02:44:00,Pegasus,MSTI-3,Retired,40,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-05-19,10:30:00,Space Shuttle Endeavour,STS-77,Retired,450,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1996-05-24,01:10:00,Delta II 7925,Galaxy 9,Retired,,Success
ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1996-06-04,12:34:00,Ariane 5 G,Cluster,Retired,,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-06-15,06:55:00,Ariane 44P,Intelsat 709,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-06-20,14:49:00,Space Shuttle Columbia,STS-78,Retired,450,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-07-02,07:48:00,Pegasus XL,TOMS,Active,40,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",1996-07-03,00:31:00,Titan IV(405)A,SDS,Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1996-07-03,10:47:00,Long March 3,Apstar 1A,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-07-09,22:24:00,Ariane 44L,"Arabsat-2A, T??rksat 1C",Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1996-07-16,00:50:00,Delta II 7925,USA-126 (GPS IIA-17),Retired,,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA",1996-07-25,12:42:00,Atlas II,UHF F7,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-08-08,22:49:00,Ariane 44L,"Italsat F2, Telecom 2D",Retired,,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",1996-08-14,22:21:00,Molniya-M /Block ML,Molniya-1T n†­164,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",1996-08-17,01:53:00,H-II (2 SSB),Fuji 2 & Midori,Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1996-08-18,10:27:00,Long March 3,Chinasat-7,Retired,,Partial Failure
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-08-21,09:47:00,Pegasus XL,FAST,Active,40,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",1996-08-29,05:22:00,Molniya-M /Block SO-L,"Interbol 2, Magion5 & Victor",Retired,,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1996-09-04,09:01:00,Zenit-2,Cosmos 2333,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1996-09-05,12:47:00,Cosmos-3M (11K65M),Cosmos 2334 & UNAMSAT-B,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-09-08,21:49:00,Atlas IIA,GE-1,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-09-11,00:00:00,Ariane 42P,Echostar-2,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1996-09-12,08:49:00,Delta II 7925,USA-128 (GPS IIA-18),Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1996-09-16,08:54:00,Space Shuttle Atlantis,STS-79,Retired,450,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1996-10-20,07:20:00,Long March 2D,FSW-2 No.3,Active,29.75,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",1996-10-24,11:37:00,Molniya-M /Block ML,Molniya-3 n†­165,Retired,,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-11-04,17:08:00,Pegasus XL,HETE & SAC-B,Active,40,Failure
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1996-11-07,17:00:00,Delta II 7925,Mars Global Surveyor,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-11-13,22:40:00,Ariane 44L,"Arabsat-2B, Measat-2",Retired,,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1996-11-21,20:47:00,Atlas IIA,Hot Bird 2,Retired,,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",1996-12-04,06:58:00,Delta II 7925,Mars Pathfinder,Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-12-07,11:49:00,Space Shuttle Columbia,STS-80,Retired,450,Success
VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1996-12-11,12:00:00,Tsyklon-2,Cosmos 2335,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-12-18,01:57:00,Atlas IIA,Inmarsat 3-F3,Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1996-12-20,06:43:00,Cosmos-3M (11K65M),Cosmos 2336,Retired,,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA",1996-12-20,18:04:00,Titan IV(404)A,NROL-2 (KH-11 Kennen),Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-01-12,09:27:00,Space Shuttle Atlantis,STS-81,Retired,450,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1997-01-17,16:28:00,Delta II 7925,GPS IIR-1,Retired,,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-01-30,22:04:00,Ariane 44L,"GE-2, Nahuel 1A",Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-02-11,08:55:00,Space Shuttle Discovery,STS-82,Retired,450,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",1997-02-12,04:50:00,Mu-V / M-24,Muses B,Retired,,Success
VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia",1997-02-14,03:47:00,Tsyklon-3,Cosmos 2337 to 2339 & Gonets 4 to 6,Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-02-17,01:42:00,Atlas IIAS,JCSAT-4,Retired,,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA",1997-02-23,20:20:00,Titan IV(402)B,DSP,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-03-01,01:07:00,Ariane 44P,Intelsat 801,Retired,,Success
MITT,"Svobodny Cosmodrome, Russia",1997-03-04,02:00:00,Start-1,Zeya,Active,,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1997-03-08,06:01:00,Atlas IIA,Tempo 2,Retired,,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA",1997-04-04,16:47:00,Titan II(23)G,USA-131,Retired,35,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-04-04,19:20:00,Space Shuttle Columbia,STS-83,Retired,450,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-04-16,23:08:00,Ariane 44LP,"Thaicom 3, BSAT 1a",Retired,,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",1997-04-17,13:03:00,Cosmos-3M (11K65M),Cosmos 2341,Retired,,Success
Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-04-21,11:59:00,Pegasus XL,MiniSat & Celestis space burial,Active,40,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-04-25,05:49:00,Atlas I,GOES-K,Retired,,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA",1997-05-05,14:55:00,Delta II 7920-10C,MS-1,Retired,,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",1997-05-11,16:17:00,Long March 3A,ChinaSat 6,Active,69.7,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",1997-05-14,00:33:00,Molniya-M /Block 2BL,Cosmos 2342,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-05-15,08:07:00,Space Shuttle Atlantis,STS-84,Retired,450,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",1997-05-20,07:07:00,Zenit-2,Tselina-2 n†­19,Retired,,Failure
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1997-05-20,22:39:00,Delta II 7925,Telenor Thor II,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-06-03,23:20:00,Ariane 44L,"Inmarsat 3 F4, Insat 2D",Retired,,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",1997-06-10,12:01:00,Long March 3,Fengyun-2A,Retired,,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-06-25,23:44:00,Ariane 44P,Intelsat 802,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-07-01,18:02:00,Space Shuttle Columbia,STS-94,Retired,450,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA",1997-07-09,13:04:00,Delta II 7920-10C,MS-2,Retired,,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",1997-07-23,03:43:00,Delta II 7925,USA-132 (GPS IIR-2),Retired,,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-07-28,01:15:00,Atlas IIAS,Superbird C,Retired,,Success
Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-08-01,20:20:00,Pegasus XL,OrbView-2,Active,40,Success
